"","Individual_ID","Video","Genotype","Age","Time","Observer","Approaches","Bites","Latency_to_move","Latency_to_Approach","Latency_to_Attack","graphtime","Aggression"
"1","29810","1","RHL3-14","J","1","2",19,0,19,6,1800,"80",19
"2","29810","1","RHL3-14","J","1","4",17,0,0,6,1800,"80",17
"3","29850","2","CRWL1","J","1","1",15,3,51,16,94,"80",18
"4","29850","2","CRWL1","J","1","3",9,7,70,16,94,"80",16
"5","29851","3","CRWL1","J","1","2",9,0,16,59,1800,"80",9
"6","29851","3","CRWL1","J","1","3",9,0,18,59,1800,"80",9
"7","29852","4","EPP3","J","1","1",12,2,2,27,41,"80",14
"8","29852","4","EPP3","J","1","4",11,2,0,27,41,"80",13
"9","29857","5","RHL3-14","J","1","2",14,1,28,3,447,"80",15
"10","29875","6","CRWL1","J","1","3",7,0,18,1,1800,"80",7
"11","29876","7","CRWL1","J","1","1",23,15,13,17,89,"80",38
"12","29876","7","CRWL1","J","1","4",23,17,13,17,89,"80",40
"13","29892","8","RHL3-14","J","1","4",15,0,6,2,1800,"80",15
"14","29892","8","RHL3-14","J","1","3",15,0,15,2,1800,"80",15
"15","29893","9","RHL3-14","J","1","2",30,6,15,5,643,"80",36
"16","29896","10","CRWL1","J","1","1",5,0,19,35,1800,"80",5
"17","29896","10","CRWL1","J","1","2",6,0,37,35,1800,"80",6
"18","29903","11","RHL3-14","J","1","1",64,98,0,41,77,"80",162
"19","29904","12","RHL3-14","J","1","1",27,3,12,43,175,"80",30
"20","29904","12","RHL3-14","J","1","3",21,12,14,43,175,"80",33
"21","29905","13","RHL3-14","J","1","2",10,0,25,78,1800,"80",10
"22","29905","13","RHL3-14","J","1","4",8,0,0,78,1800,"80",8
"23","29902","14","RHL3-14","J","1","4",12,0,0,1,1800,"80",12
"24","29921","15","EPP3","J","1","2",7,7,25,12,976,"80",14
"25","29922","16","EPP3","J","1","3",5,0,15,10,1800,"80",5
"26","29922","16","EPP3","J","1","4",3,0,7,10,1800,"80",3
"27","29923","17","EPP3","J","1","2",7,2,15,561,563,"80",9
"28","29923","17","EPP3","J","1","4",4,1,0,561,563,"80",5
"29","29924","18","EPP3","J","1","1",11,1,1,65,70,"80",12
"30","29925","19","EPP3","J","1","1",24,33,0,1,86,"80",57
"31","29925","19","EPP3","J","1","2",22,33,0,1,86,"80",55
"32","29926","20","EPP3","J","1","3",14,0,15,10,1800,"80",14
"33","29927","21","EPP3","J","1","2",36,71,6,23,25,"80",107
"34","29927","21","EPP3","J","1","4",36,75,0,23,25,"80",111
"35","29984","22","CRWL1","J","1","2",26,1,16,15,22,"80",27
"36","30027","23","CRWL1","J","1","4",37,0,0,21,1800,"80",37
"37","30063","24","IRP4-9","J","1","3",2,0,22,178,1800,"80",2
"38","30064","25","IRP4-9","J","1","1",0,0,120,1800,1800,"80",0
"39","30064","25","IRP4-9","J","1","2",0,0,16,1800,1800,"80",0
"40","30066","26","IRP4-9","J","1","4",6,1,0,4,1800,"80",7
"41","30095","27","CRWL1","J","1","1",1,0,76,773,1800,"80",1
"42","30122","28","BWS21","J","1","2",7,0,24,18,1800,"80",7
"43","30122","28","BWS21","J","1","3",5,0,24,18,1800,"80",5
"44","30132","29","OY6","J","1","4",14,0,0,16,1800,"80",14
"45","30146","30","IRP4-9","J","1","1",7,0,12,3,1800,"80",7
"46","30146","30","IRP4-9","J","1","2",7,0,31,3,1800,"80",7
"47","30147","31","IRP4-9","J","1","3",11,0,11,5,1800,"80",11
"48","30218","32","BWS21","J","1","1",14,0,52,4,1800,"80",14
"49","30219","33","BWS21","J","1","4",0,0,201,1800,1800,"80",0
"50","30222","34","IRP4-9","J","1","2",8,0,28,814,1800,"80",8
"51","30223","35","IRP4-9","J","1","1",17,0,4,62,1800,"80",17
"52","30224","36","IRP4-9","J","1","3",9,1,17,70,41,"80",10
"53","30228","37","OY6","J","1","2",11,0,58,33,1800,"80",11
"54","30228","37","OY6","J","1","4",11,0,36,33,1800,"80",11
"55","30230","38","OY6","J","1","2",13,1,15,20,312,"80",14
"56","30232","39","OY6","J","1","4",14,0,18,32,1800,"80",14
"57","30233","40","OY6","J","1","1",9,0,3,9,1800,"80",9
"58","30234","41","OY6","J","1","2",14,0,16,15,1800,"80",14
"59","30235","42","OY6","J","1","3",5,0,16,68,1800,"80",5
"60","30236","43","OY6","J","1","4",18,0,27,51,1800,"80",18
"61","30256","44","BWS21","J","1","2",10,0,16,112,1800,"80",10
"62","30300","45","BWS21","J","1","1",6,0,25,38,1800,"80",6
"63","30301","46","BWS21","J","1","2",4,0,21,101,1800,"80",4
"64","30326","47","LK4","J","1","4",3,0,97,13,1800,"80",3
"65","30371","48","BWS21","J","1","2",11,0,23,3,1800,"80",11
"66","30375","49","LK4","J","1","1",19,2,0,1,55,"80",21
"67","30376","50","LK4","J","1","2",19,0,7,58,1800,"80",19
"68","30376","50","LK4","J","1","4",19,0,0,58,1800,"80",19
"69","30422","51","EPP5","J","1","3",6,0,11,127,1800,"80",6
"70","30435","52","LK4","J","1","1",8,0,10,59,1800,"80",8
"71","30435","52","LK4","J","1","4",11,0,0,59,1800,"80",11
"72","30449","53","EPP5","J","1","1",21,15,1,3,6,"80",36
"73","30477","54","EPP5","J","1","4",5,0,9,16,1800,"80",5
"74","30566","55","EPP5","J","1","3",10,0,3,28,1800,"80",10
"75","30641","58","EPP5","J","1","1",2,0,2,1264,1800,"80",2
"76","30643","59","EPP5","J","1","4",1,0,0,48,1800,"80",1
"77","30643","60","EPP5","J","1","2",3,0,24,494,1800,"80",3
"78","30644","61","EPP5","J","1","4",7,0,0,266,1800,"80",7
"79","30801","62","LK4","J","1","1",11,0,40,80,1800,"80",11
"80","30822","63","LK4","J","1","3",18,3,32,249,294,"80",21
"81","29810","1","RHL3-14","J","2","2",3,0,36,18,1800,"87",3
"82","29810","1","RHL3-14","J","2","3",2,0,35,18,1800,"87",2
"83","29850","2","CRWL1","J","2","1",7,0,113,36,1800,"87",7
"84","29851","3","CRWL1","J","2","2",5,0,13,20,1800,"87",5
"85","29851","3","CRWL1","J","2","4",3,1,0,20,1800,"87",4
"86","29852","4","EPP3","J","2","2",7,1,41,348,1444,"87",8
"87","29852","4","EPP3","J","2","3",5,2,21,348,1444,"87",7
"88","29857","5","RHL3-14","J","2","4",6,0,970,63,1800,"87",6
"89","29875","6","CRWL1","J","2","1",7,0,1,1,1800,"87",7
"90","29875","6","CRWL1","J","2","2",8,3,24,1,1800,"87",11
"91","29876","7","CRWL1","J","2","3",25,65,59,5,21,"87",90
"92","29892","8","RHL3-14","J","2","2",8,0,25,25,1800,"87",8
"93","29892","8","RHL3-14","J","2","4",6,0,3,25,1800,"87",6
"94","29893","9","RHL3-14","J","2","3",15,84,9,53,75,"87",99
"95","29896","10","CRWL1","J","2","1",0,0,14,1800,1800,"87",0
"96","29903","11","RHL3-14","J","2","1",14,1,5,23,109,"87",15
"97","29903","11","RHL3-14","J","2","3",6,1,21,23,109,"87",7
"98","29904","12","RHL3-14","J","2","4",25,3,0,43,177,"87",28
"99","29905","13","RHL3-14","J","2","2",9,0,14,70,1800,"87",9
"100","29902","14","RHL3-14","J","2","1",29,40,10,12,70,"87",69
"101","29902","14","RHL3-14","J","2","4",27,33,0,12,70,"87",60
"102","29921","15","EPP3","J","2","2",4,1,20,17,19,"87",5
